area_name,area_code,age,age_lower,age_higher,week_ending,weekly_admissions,weekly_rate
London,E40000003,0 - 5 years,0,5,2022-02-01,82,11.5
London,E40000003,0 - 5 years,0,5,2022-01-25,103,14.300000000000011
London,E40000003,0 - 5 years,0,5,2022-01-18,88,12.299999999999983
London,E40000003,0 - 5 years,0,5,2022-01-11,94,13.099999999999994
London,E40000003,0 - 5 years,0,5,2022-01-04,127,17.69999999999999
London,E40000003,0 - 5 years,0,5,2021-12-28,102,14.300000000000011
London,E40000003,0 - 5 years,0,5,2021-12-21,68,9.5
London,E40000003,0 - 5 years,0,5,2021-12-14,35,4.800000000000011
London,E40000003,0 - 5 years,0,5,2021-12-07,28,3.8999999999999773
London,E40000003,0 - 5 years,0,5,2021-11-30,17,2.4000000000000057
London,E40000003,0 - 5 years,0,5,2021-11-23,24,3.4000000000000057
London,E40000003,0 - 5 years,0,5,2021-11-16,23,3.1999999999999886
London,E40000003,0 - 5 years,0,5,2021-11-09,15,2.1000000000000227
London,E40000003,0 - 5 years,0,5,2021-11-02,13,1.799999999999983
London,E40000003,0 - 5 years,0,5,2021-10-26,20,2.8000000000000114
London,E40000003,0 - 5 years,0,5,2021-10-19,23,3.1999999999999886
London,E40000003,0 - 5 years,0,5,2021-10-12,11,1.5
London,E40000003,0 - 5 years,0,5,2021-10-05,9,1.3000000000000114
London,E40000003,0 - 5 years,0,5,2021-09-28,12,1.5999999999999943
London,E40000003,0 - 5 years,0,5,2021-09-21,12,1.6999999999999886
London,E40000003,0 - 5 years,0,5,2021-09-14,16,2.200000000000017
London,E40000003,0 - 5 years,0,5,2021-09-07,24,3.4000000000000057
London,E40000003,0 - 5 years,0,5,2021-08-31,31,4.299999999999983
London,E40000003,0 - 5 years,0,5,2021-08-24,29,4.099999999999994
London,E40000003,0 - 5 years,0,5,2021-08-17,25,3.5
London,E40000003,0 - 5 years,0,5,2021-08-10,27,3.700000000000017
London,E40000003,0 - 5 years,0,5,2021-08-03,22,3.0999999999999943
London,E40000003,0 - 5 years,0,5,2021-07-27,26,3.5999999999999943
London,E40000003,0 - 5 years,0,5,2021-07-20,26,3.6000000000000085
London,E40000003,0 - 5 years,0,5,2021-07-13,26,3.700000000000003
London,E40000003,0 - 5 years,0,5,2021-07-06,10,1.3999999999999915
London,E40000003,0 - 5 years,0,5,2021-06-29,8,1.1000000000000085
London,E40000003,0 - 5 years,0,5,2021-06-22,10,1.3999999999999915
London,E40000003,0 - 5 years,0,5,2021-06-15,9,1.2000000000000028
London,E40000003,0 - 5 years,0,5,2021-06-08,5,0.7000000000000028
London,E40000003,0 - 5 years,0,5,2021-06-01,5,0.7000000000000028
London,E40000003,0 - 5 years,0,5,2021-05-25,3,0.3999999999999915
London,E40000003,0 - 5 years,0,5,2021-05-18,4,0.6000000000000085
London,E40000003,0 - 5 years,0,5,2021-05-11,5,0.6999999999999886
London,E40000003,0 - 5 years,0,5,2021-05-04,6,0.8000000000000114
London,E40000003,0 - 5 years,0,5,2021-04-27,0,0
London,E40000003,0 - 5 years,0,5,2021-04-20,4,0.5999999999999943
London,E40000003,0 - 5 years,0,5,2021-04-13,3,0.4000000000000057
London,E40000003,0 - 5 years,0,5,2021-04-06,3,0.3999999999999915
London,E40000003,0 - 5 years,0,5,2021-03-30,2,0.29999999999999716
London,E40000003,0 - 5 years,0,5,2021-03-23,5,0.7000000000000028
London,E40000003,0 - 5 years,0,5,2021-03-16,6,0.7999999999999972
London,E40000003,0 - 5 years,0,5,2021-03-09,9,1.3000000000000114
London,E40000003,0 - 5 years,0,5,2021-03-02,10,1.3999999999999915
London,E40000003,0 - 5 years,0,5,2021-02-23,13,1.7999999999999972
London,E40000003,0 - 5 years,0,5,2021-02-16,16,2.200000000000003
London,E40000003,0 - 5 years,0,5,2021-02-09,19,2.700000000000003
London,E40000003,0 - 5 years,0,5,2021-02-02,24,3.299999999999997
London,E40000003,0 - 5 years,0,5,2021-01-26,40,5.6000000000000085
London,E40000003,0 - 5 years,0,5,2021-01-19,51,7.099999999999994
